relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
0,1.4891903321033555,-0.009577099233865738,2.197944164276123,9.476539611816406
67,1.6012602730271859,-0.2897072434425354,2.0064022541046143,10.388758659362793
102,2.213340827956016,0.06464541703462601,2.8348214626312256,9.529213905334473
154,,0.15562786161899567,,
155,1.775366116764798,,2.5259599685668945,9.584281921386719
218,1.8638706514641525,,,
219,,0.42857518792152405,2.698347806930542,9.419076919555664
283,0.8614307437585562,-0.3208328187465668,2.1524529457092285,9.356825828552246
348,1.0092639377775903,-0.24661029875278473,2.1476645469665527,8.748680114746094
412,0.3732407151157755,0.10774236917495728,1.5921927690505981,9.454991340637207
496,0.5620884979591415,-0.4980091452598572,,9.234718322753906
497,,,2.202732801437378,
548,1.5840302071484664,-1.2019259929656982,3.466909885406494,9.9003267288208
609,3.2309307243172074,0.30886146426200867,4.242654800415039,11.935460090637207
679,3.0648939157270427,-1.3743137121200562,4.240260601043701,11.45181655883789
757,2.3666411420851614,-1.2043201923370361,2.6145482063293457,11.585895538330078
808,2.3869949405777957,1.0032011270523071,1.9585168361663818,10.743110656738281
884,2.7841434643655987,,,
885,,0.6560313105583191,0.14605076611042023,7.553936958312988
937,2.942496575132336,-0.12929083406925201,1.2186858654022217,12.361640930175781
989,2.7519639544954146,-0.9792584180831909,3.6369035243988037,11.85405445098877
1051,2.8381424836084577,,,
1052,,-1.489238977432251,3.158048391342163,12.962603569030762
1122,3.858086374726921,-0.8715160489082336,2.8731298446655273,4.036747455596924
1181,3.163497610646855,-1.8172545433044434,1.1540404558181763,7.324086666107178
1248,0.984171558731888,1.0367209911346436,0.8284190893173218,9.119792938232422
1317,1.1663373187086887,-0.2897072434425354,1.8890827894210815,10.525232315063477
1379,4.846877534276619,-1.6185297966003418,2.008796453475952,13.779051780700684
1433,4.933716881937812,,,
1434,,0.04788549616932869,1.209108829498291,14.253117561340332
1503,4.796814362083652,,,
1504,,-1.4772675037384033,1.4317762851715088,7.134938716888428
1569,2.213934710145571,1.5921927690505981,1.4030450582504272,9.170072555541992
1624,2.0313194849894134,2.3703320026397705,,
1625,,,-0.5339232683181763,9.115004539489746
1698,5.1637350604751475,-4.3408203125,5.087833881378174,8.760651588439941
1756,7.210413755695321,1.2258687019348145,0.4261809289455414,15.811790466308594
1818,0.8435584663294109,-0.6392713785171509,3.3543789386749268,8.56192684173584
1882,1.8741985515541257,,,
1883,,-1.1109435558319092,0.4668835997581482,9.292180061340332
1952,4.061460156508405,-1.6400781869888306,,5.83245325088501
1953,,,2.145270347595215,
2016,3.9380880249786787,-3.809291124343872,0.4022381603717804,10.568328857421875
2089,4.048971803860461,-4.2642035484313965,1.2138973474502563,9.237112045288086
2152,8.939902669560276,-0.8523618578910828,0.2849186956882477,17.238779067993164
2202,8.68847738572338,-0.8858816623687744,3.2753679752349854,11.066338539123535
2268,1.7700832423878545,0.09577099233865738,0.4357580244541168,9.44301986694336
2327,5.5410830924250005,-1.1468576192855835,,
2328,,,0.45730647444725037,4.297723293304443
